  x,y,z,rho,u,v,w,p
     6.949150,      0.474358,      0.000000,      1.050661,    150.372894,    -15.198629,      0.000000,  87100.609375
     7.118640,      0.473684,      0.000000,      1.049309,    151.628830,    -10.870549,      0.000000,  86942.078125
     7.288140,      0.473684,      0.000000,      1.046911,    153.464920,     -7.678010,      0.000000,  86663.414062
     7.457630,      0.473684,      0.000000,      1.044300,    155.378357,     -5.517638,      0.000000,  86360.773438
     7.627120,      0.473684,      0.000000,      1.042221,    156.976456,     -4.134984,      0.000000,  86120.460938
     7.796610,      0.473684,      0.000000,      1.040481,    158.256363,     -3.164527,      0.000000,  85919.992188
     7.966100,      0.473684,      0.000000,      1.038894,    159.319443,     -2.433834,      0.000000,  85737.351562
     8.135590,      0.473684,      0.000000,      1.037707,    160.141434,     -1.903113,      0.000000,  85601.250000
     8.305090,      0.473684,      0.000000,      1.036704,    160.811493,     -1.506920,      0.000000,  85486.554688
     8.474580,      0.473684,      0.000000,      1.035889,    161.347839,     -1.202251,      0.000000,  85393.656250
     8.644070,      0.473684,      0.000000,      1.035204,    161.781830,     -0.967457,      0.000000,  85315.812500
     8.813560,      0.473684,      0.000000,      1.034643,    162.134674,     -0.787027,      0.000000,  85252.367188
     8.983050,      0.473684,      0.000000,      1.034163,    162.423004,     -0.648316,      0.000000,  85198.468750
     9.152540,      0.473684,      0.000000,      1.033764,    162.663345,     -0.542737,      0.000000,  85153.617188
     9.322030,      0.473684,      0.000000,      1.033409,    162.863556,     -0.464253,      0.000000,  85114.367188
     9.491530,      0.473684,      0.000000,      1.033113,    163.038086,     -0.408412,      0.000000,  85080.960938
     9.661020,      0.473684,      0.000000,      1.032827,    163.189926,     -0.371630,      0.000000,  85050.125000
     9.830510,      0.473684,      0.000000,      1.032587,    163.330917,     -0.353009,      0.000000,  85022.960938
    10.000000,      0.473684,      0.000000,      1.032514,    163.438385,     -0.347131,      0.000000,  85011.320312
     0.000000,      0.631579,      0.000000,      1.036592,    163.506485,      0.034144,      0.000000,  85323.171875
     0.169490,      0.631579,      0.000000,      1.036614,    163.482880,      0.095515,      0.000000,  85325.695312
     0.338980,      0.631579,      0.000000,      1.036681,    163.440353,      0.191336,      0.000000,  85333.398438
     0.508470,      0.631579,      0.000000,      1.036787,    163.368149,      0.296861,      0.000000,  85345.648438
     0.677970,      0.631579,      0.000000,      1.036947,    163.263367,      0.416085,      0.000000,  85364.171875
     0.847460,      0.631579,      0.000000,      1.037160,    163.120682,      0.555195,      0.000000,  85388.664062
     1.016950,      0.631579,      0.000000,      1.037437,    162.936646,      0.721097,      0.000000,  85420.664062
     1.186440,      0.631579,      0.000000,      1.037788,    162.700562,      0.922835,      0.000000,  85461.054688
     1.355930,      0.631579,      0.000000,      1.038229,    162.404831,      1.171623,      0.000000,  85511.984375
     1.525420,      0.631579,      0.000000,      1.038772,    162.036987,      1.483067,      0.000000,  85574.492188
     1.694920,      0.631579,      0.000000,      1.039438,    161.582199,      1.877070,      0.000000,  85651.335938
     1.864410,      0.631579,      0.000000,      1.040252,    161.024719,      2.383084,      0.000000,  85745.390625
     2.033900,      0.631579,      0.000000,      1.041225,    160.340210,      3.043210,      0.000000,  85857.710938
     2.203390,      0.631579,      0.000000,      1.042417,    159.519180,      3.904780,      0.000000,  85995.367188
     2.372880,      0.631579,      0.000000,      1.043762,    158.538498,      5.079262,      0.000000,  86150.898438
     2.542370,      0.631579,      0.000000,      1.045285,    157.430374,      6.685597,      0.000000,  86326.882812
     2.711860,      0.631579,      0.000000,      1.046867,    156.267212,      8.859230,      0.000000,  86509.960938
     2.881360,      0.631579,      0.000000,      1.047972,    155.236145,     11.822539,      0.000000,  86638.648438
     3.050850,      0.632211,      0.000000,      1.048054,    154.798309,     15.724461,      0.000000,  86648.664062
     3.220340,      0.643279,      0.000000,      1.046202,    155.638260,     20.437258,      0.000000,  86434.929688
     3.389830,      0.667437,      0.000000,      1.041372,    158.342453,     25.547491,      0.000000,  85877.695312
     3.559320,      0.702979,      0.000000,      1.033183,    163.181030,     30.451382,      0.000000,  84935.148438
     3.728810,      0.747395,      0.000000,      1.021740,    170.111130,     34.521900,      0.000000,  83623.046875
     3.898310,      0.797550,      0.000000,      1.007192,    178.934525,     37.233063,      0.000000,  81963.296875
     4.067800,      0.849924,      0.000000,      0.990100,    189.250412,     38.086708,      0.000000,  80025.015625
     4.237290,      0.900821,      0.000000,      0.971539,    200.415878,     36.662067,      0.000000,  77934.960938
     4.406780,      0.946650,      0.000000,      0.952753,    211.633530,     32.711884,      0.000000,  75835.000000
     4.576270,      0.984190,      0.000000,      0.935419,    221.896881,     26.163990,      0.000000,  73913.164062
     4.745760,      1.010787,      0.000000,      0.921589,    230.019135,     17.213083,      0.000000,  72393.164062
     4.915250,      1.024571,      0.000000,      0.913479,    234.734528,      6.457361,      0.000000,  71507.273438
     5.084750,      1.024571,      0.000000,      0.912709,    235.056137,     -5.045023,      0.000000,  71424.359375
     5.254240,      1.010787,      0.000000,      0.919426,    230.855469,    -15.964837,      0.000000,  72162.898438
     5.423730,      0.984190,      0.000000,      0.932211,    222.992996,    -25.137375,      0.000000,  73575.882812
     5.593220,      0.946650,      0.000000,      0.948901,    212.821960,    -31.885473,      0.000000,  75432.968750
     5.762710,      0.900821,      0.000000,      0.967331,    201.645004,    -36.001816,      0.000000,  77499.085938
     5.932200,      0.849924,      0.000000,      0.985765,    190.489853,    -37.575409,      0.000000,  79581.648438
     6.101700,      0.797550,      0.000000,      1.002836,    180.153275,    -36.851742,      0.000000,  81524.648438
     6.271190,      0.747395,      0.000000,      1.017510,    171.244247,    -34.217911,      0.000000,  83206.507812
     6.440680,      0.702979,      0.000000,      1.029242,    164.183151,    -30.204731,      0.000000,  84559.210938
     6.610170,      0.667437,      0.000000,      1.037636,    159.196243,    -25.377401,      0.000000,  85531.445312
     6.779660,      0.643279,      0.000000,      1.042671,    156.351089,    -20.318224,      0.000000,  86116.546875
